Account Manager,Rep Name,Account Number,Name,Address,Subscription Date,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Modem Age,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Churn Date,Latitude,Longitude,Postal Code,Region
10-8807007,Alec Wilks,3841-NFECX,Daugherty LLC,3 Gateway Place,6/5/2016,Yes,Yes,No,28,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,,42.341301,-71.056373,2127,Massachusetts
58-8364238,Jenny Hancock,4929-XIHVW,"Sauer, Towne and Dach",5 Canary Crossing,2/15/2017,Yes,Yes,No,10,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Yes,12/31/2017,42.34146,-71.05574,2127,Massachusetts
76-0195839,Rhia Frame,6827-IEAUQ,"Baumbach, White and Zemlak",19040 Di Loreto Trail,6/25/2016,No,Yes,Yes,28,Yes,No,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,,42.3421567,-71.0554094,2127,Massachusetts
10-8807007,Alec Wilks,7310-EGVHZ,Nicolas LLC,8673 Clyde Gallagher Trail,6/11/2017,No,No,No,6,Yes,No,No,> 4 Years,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Yes,12/31/2017,42.34196,-71.05484,2127,Illinois
25-9781941,Cleo Frederick,3413-BMNZE,"Pouros, Kovacek and Okuneva",531 Bultman Hill,7/16/2017,Yes,No,No,5,Yes,No,DSL,> 4 Years,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Yes,12/31/2017,42.34243,-71.05507,2127,Illinois
73-9095501,Floyd Black,6234-RAAPL,Russel and Sons,92358 Randy Pass,3/29/2017,No,Yes,Yes,9,Yes,Yes,Fiber optic,> 4 Years,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,Yes,12/31/2017,42.34243,-71.05507,2127,Massachusetts
86-3601877,Aniyah Delaney,6047-YHPVI,Kuhic-Hermiston,46639 Surrey Place,5/19/2017,No,No,No,7,Yes,No,Fiber optic,> 4 Years,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,12/31/2017,42.34243,-71.05507,2127,Illinois
77-4912526,Ishaaq Armitage,6572-ADKRS,"Heidenreich, Wehner and Luettgen",2649 Redwing Way,6/2/2016,No,No,No,29,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,,42.342541,-71.054846,2127,Massachusetts
78-8973798,Jena Durham,5380-WJKOV,Champlin Inc,5933 Annamark Street,8/15/2017,No,No,No,14,Yes,Yes,Fiber optic,1 - 2 Years,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,No,,42.34241,-71.05461,2127,Massachusetts
20-9329110,Emil Webber,8168-UQWWF,"Lind, Morissette and Haley",18 Knutson Drive,5/18/2017,No,No,No,17,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,No,,42.342447,-71.054567,2127,Massachusetts
86-3601877,Aniyah Delaney,8865-TNMNX,"Weimann, Pfannerstill and Gutkowski",209 Southridge Hill,5/8/2017,No,Yes,Yes,17,Yes,No,DSL,Less than 1 Year,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,,42.29744,-71.08605,2124,Massachusetts
20-9329110,Emil Webber,9489-DEDVP,"Cummerata, Towne and Weber",6863 Warrior Way,3/4/2017,No,Yes,Yes,19,Yes,Yes,DSL,Less than 1 Year,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,,42.29728,-71.08586,2124,Massachusetts
85-3745646,Shivani Costa,9867-JCZSP,"Schulist, VonRueden and Hackett",48238 Bellgrove Parkway,7/12/2017,No,Yes,Yes,15,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,,42.29704,-71.08625,2124,Massachusetts
42-3903575,Claudia Todd,4671-VJLCL,"O'Kon, Lebsack and O'Reilly",53 Badeau Street,7/1/2017,No,No,No,16,Yes,Yes,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,,42.29713,-71.08573,2124,Massachusetts
69-0108929,Kelsea Esquivel,4080-IIARD,Hettinger Inc,21 Helena Court,1/9/2017,No,Yes,No,20,Yes,Yes,DSL,New,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,Yes,9/30/2018,42.29694,-71.08618,2124,Massachusetts
85-3745646,Shivani Costa,3714-NTNFO,Leuschke-Maggio,56 Autumn Leaf Circle,6/25/2017,No,No,No,16,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,,42.29702,-71.08567,2124,Massachusetts
42-3903575,Claudia Todd,5948-UJZLF,Trantow Group,326 Forest Dale Crossing,7/8/2017,No,No,No,15,Yes,No,DSL,Less than 1 Year,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,,42.29682,-71.08612,2124,Massachusetts
42-3903575,Claudia Todd,7760-OYPDY,"Mills, Fahey and Bogan",563 Havey Court,4/2/2018,No,No,No,7,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,No,,42.29682,-71.08612,2124,Illinois
78-8973798,Jena Durham,7639-LIAYI,Greenholt and Sons,3635 Pond Road,1/25/2017,No,No,No,20,Yes,Yes,DSL,New,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,Yes,9/30/2018,42.29682,-71.08612,2124,Massachusetts
76-0195839,Rhia Frame,2954-PIBKO,"Ortiz, Price and Runolfsson",8 Rowland Terrace,6/29/2016,No,Yes,Yes,28,Yes,Yes,DSL,1 - 2 Years,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,,42.2977299,-71.0866307,2124,Massachusetts
76-0195839,Rhia Frame,8012-SOUDQ,"Monahan, Rowe and Hammes",86 Blackbird Place,2/7/2017,Yes,No,No,19,Yes,Yes,Fiber optic,New,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,Yes,9/30/2018,42.29684,-71.085591,2124,Massachusetts
10-8807007,Alec Wilks,9420-LOJKX,"Cartwright, Reichel and Wyman",69 Lyons Lane,7/3/2017,No,No,No,15,Yes,No,Fiber optic,Less than 1 Year,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,No,,42.29684,-71.085591,2124,Massachusetts
16-0420024,Ariya Almond,6575-SUVOI,"O'Conner, Rippin and Kunze",20402 Lindbergh Road,2/3/2017,Yes,Yes,No,19,Yes,Yes,DSL,New,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Yes,9/30/2018,42.29684,-71.085591,2124,Massachusetts
61-8597757,Sonny Vega,7495-OOKFY,Johns-Murazik,5 Jana Court,3/4/2017,Yes,Yes,No,19,Yes,Yes,Fiber optic,Less than 1 Year,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,No,,42.29684,-71.085591,2124,Massachusetts
20-9329110,Emil Webber,4667-QONEA,Vandervort and Sons,6022 6th Way,1/18/2017,Yes,Yes,Yes,20,Yes,No,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,Yes,9/30/2018,42.29684,-71.085591,2124,Massachusetts
50-8904668,Marsha Lester,1658-BYGOY,Lemke Inc,567 Johnson Terrace,5/7/2017,Yes,No,No,17,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,No,,42.29671,-71.08607,2124,Massachusetts
51-3249481,Abdur-Rahman Glenn,8769-KKTPH,Purdy-Kohler,418 Commercial Street,7/16/2017,No,Yes,Yes,15,Yes,Yes,Fiber optic,Less than 1 Year,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,,42.29672,-71.08554,2124,Massachusetts
24-5250647,Derry Daniel,5067-XJQFU,Bahringer-Reichert,01784 Holmberg Parkway,3/19/2017,Yes,Yes,Yes,19,Yes,Yes,Fiber optic,1 - 2 Years,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,,42.2966,-71.08602,2124,Massachusetts
75-8051982,Hollie Conway,3957-SQXML,McDermott-Bosco,2736 Stoughton Circle,8/7/2017,No,Yes,Yes,14,Yes,Yes,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,,42.29647,-71.08595,2124,Massachusetts
83-8467671,Naima Clements,5954-BDFSG,"Cassin, Smith and Cruickshank",6 Vahlen Terrace,1/9/2017,No,No,No,20,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,Yes,9/30/2018,42.29648,-71.08544,2124,Massachusetts
51-3249481,Abdur-Rahman Glenn,0434-CSFON,Mante LLC,703 Superior Alley,3/19/2017,No,Yes,No,19,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,,42.29629,-71.08589,2124,Massachusetts
42-3903575,Claudia Todd,1215-FIGMP,Hansen-Doyle,596 Sundown Junction,2/1/2017,No,No,No,19,Yes,Yes,Fiber optic,New,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Yes,9/30/2018,42.2963,-71.08538,2124,Massachusetts
73-9095501,Floyd Black,0526-SXDJP,"Ebert, Bartell and Berge",46383 Jackson Road,3/21/2017,No,Yes,No,19,No,No phone service,DSL,1 - 2 Years,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,,42.29617,-71.08585,2124,Massachusetts
42-3903575,Claudia Todd,0557-ASKVU,Lueilwitz LLC,64 Hoffman Pass,1/5/2017,No,Yes,Yes,20,Yes,No,DSL,1 - 2 Years,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,Yes,9/30/2018,42.29619,-71.08534,2124,Massachusetts
58-8364238,Jenny Hancock,5698-BQJOH,"Lang, Hoppe and Zulauf",03854 Old Gate Parkway,5/5/2017,No,No,No,17,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,No,,42.29605,-71.08577,2124,Massachusetts
82-7808716,Laila Moses,5122-CYFXA,Wisozk Inc,8 Bartelt Avenue,3/21/2017,No,No,No,19,Yes,No,DSL,Less than 1 Year,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,,42.29606,-71.08533,2124,Massachusetts
52-1146363,Tori Prentice,8627-ZYGSZ,"Kovacek, Mann and Kub",10404 Emmet Plaza,5/12/2017,No,Yes,No,17,Yes,Yes,Fiber optic,Less than 1 Year,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,,42.29579,-71.08563,2124,Massachusetts
58-8364238,Jenny Hancock,3410-YOQBQ,Parker-Larson,1361 Red Cloud Junction,4/27/2017,No,No,No,18,Yes,No,DSL,1 - 2 Years,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,,42.29584,-71.08523,2124,Massachusetts
78-8973798,Jena Durham,3170-NMYVV,Gerlach-Hermann,27 Carberry Park,2/8/2017,No,Yes,Yes,19,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,Yes,9/30/2018,42.2977,-71.08643,2124,Massachusetts
82-7808716,Laila Moses,7410-OIEDU,Lowe and Sons,77 Transport Lane,6/13/2017,No,No,No,16,Yes,No,Fiber optic,1 - 2 Years,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,,42.2976,-71.08628,2124,Massachusetts
52-1146363,Tori Prentice,2273-QCKXA,"Sanford, Gutmann and Wiegand",24 Forest Point,3/16/2017,No,No,No,19,Yes,No,DSL,Less than 1 Year,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,,42.29723,-71.0865,2124,Massachusetts
69-0108929,Kelsea Esquivel,0731-EBJQB,Haag Inc,4261 Mccormick Place,4/23/2017,No,Yes,Yes,18,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,,42.31465,-71.09318,2121,Massachusetts
66-9184652,Erika Rodriquez,1891-QRQSA,Nicolas Group,280 Mockingbird Place,5/4/2017,Yes,Yes,Yes,17,Yes,Yes,Fiber optic,1 - 2 Years,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,,42.31437,-71.09235,2121,Massachusetts
42-3903575,Claudia Todd,8028-PNXHQ,Pouros-Flatley,11 Arapahoe Pass,6/20/2017,No,Yes,Yes,16,Yes,Yes,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,,42.31494,-71.09302,2121,Massachusetts
66-9184652,Erika Rodriquez,5630-AHZIL,Sauer Inc,9432 Hagan Terrace,2/4/2017,No,No,Yes,19,Yes,No,DSL,New,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Yes,9/30/2018,42.31432,-71.09218,2121,Massachusetts
25-9781941,Cleo Frederick,2673-CXQEU,"Hilll, Klocko and Conn",20 Crescent Oaks Terrace,5/29/2016,Yes,No,No,29,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,,42.31423,-71.09188,2121,Massachusetts
52-1146363,Tori Prentice,6416-JNVRK,"Mueller, O'Kon and Schultz",210 4th Street,5/19/2017,No,No,No,17,Yes,No,DSL,Less than 1 Year,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,,42.31489,-71.09276,2121,Massachusetts
82-7808716,Laila Moses,5590-ZSKRV,"Hettinger, Ryan and Fritsch",2 Old Shore Junction,8/15/2017,No,Yes,Yes,14,Yes,No,DSL,Less than 1 Year,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,,42.31476,-71.09254,2121,Massachusetts
50-8904668,Marsha Lester,0191-ZHSKZ,"Crona, Tromp and Greenfelder",0184 2nd Way,8/21/2017,Yes,No,No,14,Yes,No,DSL,Less than 1 Year,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,,42.3147,-71.09235,2121,Massachusetts
86-3601877,Aniyah Delaney,3887-PBQAO,Krajcik LLC,4122 Division Junction,7/27/2017,No,Yes,Yes,15,Yes,Yes,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,,42.3146,-71.09301,2121,Massachusetts
77-4912526,Ishaaq Armitage,5919-TMRGD,Wiza Group,3 Beilfuss Way,1/21/2018,No,No,Yes,9,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,No,,42.31466,-71.09218,2121,Massachusetts
87-5056698,Carolyn Walmsley,8108-UXRQN,Rutherford Inc,3 Mayfield Alley,3/19/2017,No,Yes,Yes,19,No,No phone service,DSL,Less than 1 Year,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,,42.31457,-71.09202,2121,Massachusetts
10-4398098,Nyah O'Neill,9191-MYQKX,"Rath, Doyle and Langosh",14907 Schlimgen Lane,1/2/2018,No,Yes,No,10,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,No,,42.3141,-71.09137,2121,Massachusetts
82-7808716,Laila Moses,9919-YLNNG,Nader-Gaylord,4892 Hallows Trail,7/3/2016,No,No,No,27,Yes,No,Fiber optic,1 - 2 Years,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,,42.31404,-71.09127,2121,Massachusetts
47-2963605,Jaimee Vance,0318-ZOPWS,Collins and Sons,25 Daystar Hill,2/15/2017,No,Yes,No,19,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,Yes,9/30/2018,42.31451,-71.09184,2121,Massachusetts
66-9184652,Erika Rodriquez,4445-ZJNMU,Kohler-Lesch,7167 Carey Point,5/30/2016,No,No,No,5,Yes,Yes,Fiber optic,> 4 Years,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Yes,11/12/2016,42.31454,-71.09285,2121,Illinois
61-8597757,Sonny Vega,4808-YNLEU,Ratke Inc,612 Ridge Oak Crossing,7/30/2017,No,Yes,No,5,Yes,No,DSL,> 4 Years,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,Yes,12/31/2017,42.31448,-71.09268,2121,Illinois
52-1146363,Tori Prentice,1862-QRWPE,Mante Group,53643 Mallard Circle,2/18/2017,No,Yes,Yes,19,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,Yes,9/30/2018,42.31443,-71.0925,2121,Massachusetts
